station_id,station_name,total_departures,member_dep,casual_dep,electric_dep,lat,lng,avg_duration,total_arrivals,net_flow,pct_member
5626.15,1 Ave & E 6 St,70945,59876,11069,41996,40.72633085971696,-73.98616880178452,10.34,70237,-708,84.4
6889.12,E 72 St & York Ave,70653,63623,7030,51745,40.76663814,-73.95348296,13.01,70926,273,90.05
5863.07,E 15 St & 3 Ave,70350,62095,8255,41458,40.734232,-73.986923,9.18,70314,-36,88.27
7141.07,Central Park W & W 72 St,69943,43485,26458,48268,40.77579376683666,-73.9762057363987,19.12,69648,-295,62.17
6925.09,2 Ave & E 72 St,69808,61062,8746,46288,40.7687620293096,-73.95840793848038,12.23,69724,-84,87.47
5626.13,St Marks Pl & 1 Ave,69658,58656,11002,47045,40.72779126,-73.98564945,10.51,70071,413,84.21
5944.01,Franklin St & Dupont St,69029,59255,9774,53321,40.73564,-73.95866,10.3,69139,110,85.84
5484.09,Allen St & Stanton St,68918,54504,14414,48245,40.722055,-73.989111,11.88,68946,28,79.09
6839.15,Central Park S & Grand Army Plaza,68772,36648,32124,50567,40.764555,-73.973473,24.39,67822,-950,53.29
5669.10,St Marks Pl & 2 Ave,68585,58329,10256,45662,40.7284186,-73.98713956,10.59,49123,-19462,85.05
6762.02,E 58 St & 3 Ave,68239,59109,9130,50674,40.76095756,-73.96724467,12.67,68123,-116,86.62
6339.06,W 25 St & 9 Ave,67965,60805,7160,43346,40.747832605837715,-74.0005722643582,10.08,67948,-17,89.47
6224.03,W 22 St & 8 Ave,67949,59980,7969,40629,40.74475148,-73.99915362,9.61,68602,653,88.27
7311.02,Amsterdam Ave & W 79 St,67896,57844,10052,53189,40.7829391,-73.9786517,12.89,67501,-395,85.2
6756.05,W 44 St & 11 Ave,67801,59300,8501,47524,40.762009,-73.996975,11.35,66466,-1335,87.46
5779.08,1 Ave & E 16 St,67787,59748,8039,39737,40.73221853,-73.98165557,9.07,67796,9,88.14
5730.08,Greenwich St & W Houston St,67458,55454,12004,46251,40.728846,-74.008591,12.92,71042,3584,82.21
5886.13,E 20 St & FDR Dr,66833,59632,7201,42268,40.733208626522426,-73.9756813647,9.98,66157,-676,89.23
6230.04,FDR Drive & E 35 St,66698,54449,12249,45726,40.744219,-73.97121214,12.56,64989,-1709,81.64
6824.07,W 47 St & 10 Ave,66658,57424,9234,46340,40.76269882,-73.99301222,10.92,65620,-1038,86.15
6115.06,Hudson St & W 13 St,66571,53201,13370,46403,40.74005708567285,-74.0052741765976,11.87,66963,392,79.92
6030.04,W 13 St & 7 Ave,66210,58285,7925,42901,40.73781509,-73.99994661,9.58,66432,222,88.03
6131.1,E 24 St & Park Ave S,66134,59111,7023,46863,40.74096374,-73.98602213,9.87,66069,-65,89.38
6920.05,W 54 St & 9 Ave,66011,57312,8699,47798,40.76604,-73.98737,11.56,63042,-2969,86.82
6464.09,E 44 St & Lexington Ave,65970,57258,8712,47870,40.752643,-73.974996,11.06,65807,-163,86.79
5470.12,North Moore St & Greenwich St,65783,58336,7447,46652,40.72019521437465,-74.0103006362915,10.95,67435,1652,88.68
5679.05,Mercer St & Bleecker St,65768,56469,9299,43914,40.72706363348306,-73.99662137031554,10.28,66480,712,85.86
6098.02,W 20 St & 5 Ave,65561,56230,9331,46235,40.73972989238724,-73.99103969335556,11.01,66154,593,85.77
6224.05,W 20 St & 8 Ave,64980,56715,8265,37635,40.74345335,-74.00004031,10.01,65423,443,87.28
6584.12,E 47 St & Park Ave,64705,58269,6436,48142,40.75510267,-73.97498696,11.89,64185,-520,90.05
5553.10,E 2 St & Ave A,64606,55227,9379,40784,40.72307749068673,-73.98583620786667,9.98,65502,896,85.48
6089.07,Lexington Ave & E 24 St,64604,55703,8901,43018,40.74025878,-73.98409214,10.42,64175,-429,86.22
5703.13,Ave A & E 11 St,64469,54627,9842,42389,40.72854745023944,-73.98175925016403,9.79,65918,1449,84.73
5721.07,Thompson St & Bleecker St,64302,51700,12602,44545,40.72840059450829,-73.99968780577183,11.63,64732,430,80.4
6986.07,Columbus Ave & W 59 St,64172,55931,8241,48179,40.76931,-73.98464,11.78,62630,-1542,87.16
5235.05,S 3 St & Bedford Ave,64166,51313,12853,52257,40.71260486,-73.96264403,12.47,64422,256,79.97
7323.09,5 Ave & E 87 St,64089,32786,31303,44063,40.78232260730881,-73.95987510681152,23.56,64511,422,51.16
6779.05,Broadway & W 53 St,64074,53869,10205,44298,40.76344058,-73.98268129,12.17,63989,-85,84.07
6013.12,Gramercy Park N & Gramercy Park E,63982,55915,8067,41076,40.73795,-73.98509,9.84,64200,218,87.39
3651.04,West Drive & Prospect Park West,63334,47904,15430,51667,40.6610633719006,-73.97945255041122,13.12,63206,-128,75.64
6560.15,Broadway & W 38 St,63281,52681,10600,44696,40.7529728216068,-73.98734897375107,12.07,63754,473,83.25
7023.04,W 59 St & 10 Ave,63055,55400,7655,48856,40.770513,-73.988038,12.63,61911,-1144,87.86
6953.08,E 74 St & 1 Ave,62967,55726,7241,46940,40.7689738,-73.95482273,13.04,63175,208,88.5
6890.01,W 53 St & 10 Ave,62790,55742,7048,44570,40.76669671,-73.99061728,10.72,62215,-575,88.78
6884.03,W 56 St & 8 Ave,62774,53231,9543,44188,40.765959181657976,-73.98313522338867,13.04,61760,-1014,84.8
6022.04,E 16 St & 5 Ave,62701,54449,8252,42217,40.73726186,-73.99238967,10.55,63164,463,86.84
5489.03,Kent Ave & N 7 St,62348,48869,13479,43416,40.72036775298455,-73.96165072917938,12.26,63382,1034,78.38
6322.01,E 33 St & 5 Ave,62277,51312,10965,44928,40.74765947,-73.98490707,12.08,61375,-902,82.39
6644.08,9 Ave & W 39 St,62216,50293,11923,40606,40.756403523272496,-73.99410143494606,11.38,62534,318,80.84
5721.01,Sullivan St & Washington Sq,62205,49571,12634,41317,40.73047747,-73.99906065,11.76,62182,-23,79.69
5755.14,University Pl & E 8 St,62141,52473,9668,39079,40.73143724085228,-73.99490341544151,9.79,62284,143,84.44
5721.14,LaGuardia Pl & W 3 St,62054,52164,9890,41736,40.72917025,-73.99810231,10.83,62894,840,84.06
5610.09,6 Ave & Broome St,61757,52769,8988,41357,40.72431,-74.00473,12.12,62815,1058,85.45
7123.04,W 64 St & Thelonious Monk Circle,61753,53665,8088,49017,40.77515953434235,-73.98918695747852,12.56,61115,-638,86.9
4157.10,Bergen St & Vanderbilt Ave,61752,53153,8599,47380,40.6794388,-73.9680438,11.2,62452,700,86.07
5343.10,Allen St & Hester St,61504,51000,10504,41977,40.71606,-73.99191,12.27,37081,-24423,82.92
6266.06,9 Ave & W 22 St,61396,54030,7366,36095,40.7454973,-74.00197139,9.78,62045,649,88.0
5971.09,E 22 St & 2 Ave,61263,53940,7323,39841,40.73716919369882,-73.98122549057007,9.7,61262,-1,88.05
6004.06,E 27 St & 1 Ave,61261,55471,5790,35921,40.739445,-73.976806,10.73,61243,-18,90.55
5207.01,Centre St & Chambers St,60778,39907,20871,36357,40.71273266,-74.0046073,15.47,61159,381,65.66
5947.04,W 13 St & 5 Ave,60659,52193,8466,39908,40.735445,-73.99431,10.07,60801,142,86.04
6089.11,E 26 St & 3 Ave,60658,51526,9132,41336,40.74069317733043,-73.98160636425018,10.27,60389,-269,84.95
7183.03,Riverside Blvd & W 67 St,60653,49539,11114,42006,40.777507027547976,-73.98888587951659,15.26,60024,-629,81.68
5653.12,Spring St & Hudson St,60650,49352,11298,41313,40.72583996792375,-74.0076532959938,12.4,61085,435,81.37
5134.09,Broadway & Kent Ave,60596,48133,12463,45711,40.710888,-73.968329,11.95,60864,268,79.43
4051.01,Berkeley Pl & 7 Ave,60522,53594,6928,46945,40.675146838709786,-73.97523209452629,10.91,60727,205,88.55
6593.15,6 Ave & W 45 St,60366,47059,13307,44383,40.756951,-73.982631,14.31,60659,293,77.96
6578.01,W 34 St & 11 Ave,60361,45039,15322,41768,40.75594159,-74.0021163,15.9,60829,468,74.62
6492.04,W 33 St & 10 Ave,60215,51164,9051,43797,40.753773368360385,-73.99937599897385,11.59,60363,148,84.97
6517.08,W 42 St & 6 Ave,60191,49883,10308,42248,40.75492,-73.98455,12.18,60395,204,82.87
5291.05,Graham Ave & Conselyea St,60068,51039,9029,43959,40.715143,-73.944507,9.44,60216,148,84.97
6233.05,W 16 St & The High Line,59660,48953,10707,39205,40.74334935,-74.00681753,11.67,59695,35,82.05
7520.07,Columbus Ave & W 95 St,59488,52759,6729,45111,40.7919557,-73.968087,12.08,58997,-491,88.69
5379.09,Berry St & N 8 St,59332,48973,10359,45134,40.7190095,-73.95852515,10.37,59016,-316,82.54
5545.01,E 7 St & Ave C,59321,52133,7188,39598,40.72412944090093,-73.97901266813278,9.8,59340,19,87.88
6602.05,W 42 St & 8 Ave,59049,49702,9347,40454,40.7575699,-73.99098507,11.29,58948,-101,84.17
5746.02,E 10 St & 2 Ave,58886,48993,9893,38525,40.72970805644994,-73.9865979552269,10.53,58999,113,83.2
6131.12,Madison Ave & E 26 St,58871,51055,7816,41095,40.742684734875695,-73.98671329021454,10.96,59152,281,86.72
5476.03,E 2 St & Ave C,58759,51130,7629,35496,40.7208736,-73.98085795,10.22,58583,-176,87.02
5422.09,Lafayette St & Grand St,58669,46731,11938,43566,40.72028,-73.99879,12.85,59246,577,79.65
6046.02,E 25 St & 2 Ave,58450,50851,7599,36516,40.73912601,-73.97973776,10.16,58447,-3,87.0
5445.07,Stanton St & Norfolk St,58253,46545,11708,41137,40.720747,-73.986274,11.69,58583,330,79.9
5914.08,Greenwich Ave & Charles St,58243,49085,9158,40807,40.735238,-74.000271,10.25,58556,313,84.28
